"order_id","customer_id","employee_id","order_date","required_date","shipped_date","ship_via","freight","ship_name","ship_address","ship_city","ship_region","ship_postal_code","ship_country","product_id","unit_price","quantity","discount"
"10248","VINET",5,"1996-07-04","1996-08-01","1996-07-16",3,"32.3800011","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims",NULL,"51100","France","11","14.0","12","0.0"
"10248","VINET",5,"1996-07-04","1996-08-01","1996-07-16",3,"32.3800011","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims",NULL,"51100","France","42","9.8","10","0.0"
"10248","VINET",5,"1996-07-04","1996-08-01","1996-07-16",3,"32.3800011","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims",NULL,"51100","France","72","34.8","5","0.0"
"10249","TOMSP",6,"1996-07-05","1996-08-16","1996-07-10",1,"11.6099997","Toms Spezialitäten","Luisenstr. 48","Münster",NULL,"44087","Germany","14","18.6","9","0.0"
"10249","TOMSP",6,"1996-07-05","1996-08-16","1996-07-10",1,"11.6099997","Toms Spezialitäten","Luisenstr. 48","Münster",NULL,"44087","Germany","51","42.4","40","0.0"
"10250","HANAR",4,"1996-07-08","1996-08-05","1996-07-12",2,"65.8300018","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","41","7.7","10","0.0"
"10250","HANAR",4,"1996-07-08","1996-08-05","1996-07-12",2,"65.8300018","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","51","42.4","35","0.15"
"10250","HANAR",4,"1996-07-08","1996-08-05","1996-07-12",2,"65.8300018","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","65","16.8","15","0.15"
"10251","VICTE",3,"1996-07-08","1996-08-05","1996-07-15",1,"41.3400002","Victuailles en stock","2, rue du Commerce","Lyon",NULL,"69004","France","22","16.8","6","0.05"
"10251","VICTE",3,"1996-07-08","1996-08-05","1996-07-15",1,"41.3400002","Victuailles en stock","2, rue du Commerce","Lyon",NULL,"69004","France","57","15.6","15","0.05"
"10251","VICTE",3,"1996-07-08","1996-08-05","1996-07-15",1,"41.3400002","Victuailles en stock","2, rue du Commerce","Lyon",NULL,"69004","France","65","16.8","20","0.0"
